post_text,label
It feels autumnal out all of a sudden... 🍂🍁,1
Made Jess a cake... 🎂 http://t.co/0DIPzH62iM,1
RT @CambridgeNewsUK: Community rallies behind former soldier who was seen begging at the Beehive Centre http://t.co/n4D4rY347m http://t.co/…,1
RT @abigail_titmuss: 5yrs ago a puppy was abandoned in Ireland. @DogsTrust took him to London. I adopted him. Today he swims in California …,1
I miss you every single day. Some days it feels like being gut-punched.,1
House smells of cake... 😍🎂,1
Cotton granny square: pink and grey #crochet #grannysquare http://t.co/ZQzUv3mbEX,1
"I've had my little car a year today. Happy Birthday little car, still going strong 🎉🚘",1
A bad week calls for #comfortfood http://t.co/pamCWA4299,1
I ❤️ Ely 😊💕 #ely #cambridgeshire https://t.co/SryXXpkJlQ,1
Gorgeous day for a drive to Ely @ Ely Catherdral https://t.co/J9sd3rju7k,1
@jessgrace_ I thought you said I could have him? 😉,1
@Sarah_Booker it looks awful down there. I hope you're okay xx https://t.co/E5oaLT18Yx,1
RT @brightonargus: In pictures: Severe weather hits Sussex - http://t.co/QGXilqMxMi http://t.co/wJCxwF2vr2,1
Block 12: another traditional #granny-square #crochet #crochetblanket #afghan http://t.co/DfaZPxheqH,1
Hog time! 💕 #hedgehog http://t.co/txlXnmZwgB,1
This http://t.co/9ckfTcg4to,1
"This I know: don't crochet when tipsy, angry or sad. Too many extremes and crochet don't mix for me...",1
"Feeling emotionally drained. Time for an easy, stress free evening. Crochet and the Penguins of Madagascar 🐧",1
RT @richardbranson: Read this wonderful blog about elephant conservation in Zimbabwe: http://t.co/MByWtcAElX #WorldElephantDay http://t.co/…,1
RT @richardbranson: Read this wonderful blog about elephant conservation in Zimbabwe: http://t.co/MByWtcAElX #WorldElephantDay http://t.co/…,1
"RT @AstronautAbby: #AstroLuca2013 RT @astro_luca: Arriving in #Queensland, we’re welcomed by a riveting, colorful nature #Australia http://…",1
RT @BBCCambs: Aboard the aquatic combines 'harvesting' weeds in Cambs waterways http://t.co/oROpiSiWk2 - @dottymcl 07:50 http://t.co/9V5Afb…,1
"This, yep http://t.co/J8chAUgPTy",1
"Big hoggle, out for his supper tonight. He's a magical little beastie 💗 http://t.co/z8ECvjJG46",1
RT @RSPCA_official: Marley &amp; Zena on #DogRescuers looking fab after rescue from owner who let them to almost starve. Owning a dog is a priv…,1
RT @Protect_Wldlife: Indeed! http://t.co/wK9r6khTaj,1
Such a magical sky tonight. It changes in seconds #nofilter http://t.co/7Ms2AwwgQY,1
Beautiful sky tonight #nofilter http://t.co/C3DI8rp0bq,1
A rare Tuesday treat for dinner #comfortfood https://t.co/9LEtZ3J7NN,1
Bought today. Can't decide if this is super organised or waaay too early... http://t.co/q73bhZqJLn,1
"@lilypebbles sorry to hear this Lily. Pets are family, and it's heartbreaking when they die. Dixie had a lovely life with you x",1
Must remember this... http://t.co/Pq9N006MBF,1
Gorilla Has Amazing Reaction When Reunited With Man That Took Care Of Him For 5 Years http://t.co/wul3hxTvGR,1
RT @designtaxi: Test your eyes by playing this fast-paced color-matching game http://t.co/hFramEin83 http://t.co/qDUPDbDRNq,1
"I scored 447 points at KOLOR, a game where you have to guess colors to score high!",1
"Awake. Mind racing. Need to sleep, dammit! 😟 #insomnia",1
Square 11 done #crochet #crochetblanket http://t.co/4EHqftYzvt,1
"@the_candourist glad to see that you survived the brutality of the desert. Stay strong, be safe",1
I’ve just remembered that the new house has  range cooker. Whoop! Looking forward to road testing it 😊,1
Square 10 / lacy #crochet / pale blue DK yarn #crocheting #crochetblanket http://t.co/VRVVn6vqoH,1
9 squares made #crochet #crocheting http://t.co/mROMYKM0tA,1
RT @CambridgeNewsUK: Have you had a look around Milton Country Park? We've found some of its prettiest spots http://t.co/wnbSmqq5hs http://…,1
RT @twistedthread: Happy Sunday! #BorntoSew http://t.co/pmV7hEWAZW,1
"Deckchair in the sun, what's not to love? ☀️💕😎 #CatsOfTwitter http://t.co/VEGr1rwUag",1
Watching Pitch Perfect 2... Pat Benatar - We Belong https://t.co/WLLJ5EN5UY,1
"Natalie Imbruglia, where is she now...?",1
Two hoggles out for dinner so far tonight... #hedgehog http://t.co/ujiXe60Csl,1
RT @bhcitynews: #Brighton student chosen to exhibit alongside Hogarth and Reynolds at National Portrait Gallery http://t.co/4tiSQ7JM61,1
@Woof_ALL_4_PETS beautiful kitty!,1
@ViviannaMakeup what a lovely kitchen!,1
RT @CambridgeNewsUK: 18 fun things to do in Cambridgeshire in September http://t.co/U79AgwlxOp http://t.co/7wtocGuE9r,1
Can you see me? 😎 #WorldCatDay http://t.co/D9tBTMHLsc,1
RT @DogsTrust: These pups can't be cuddled due to a horrible skin infection. @DT_Essex provide the TLC... http://t.co/Yy1IW5RULj http://t.c…,1
"It's not your chair, it's all mine! 💗#worldcatday http://t.co/HrwdUOKSYG",1
RT @CambridgeNewsUK: The Cambridgeshire Cook Book is out now! http://t.co/wIma0jCgmm http://t.co/Goz1FfmDId,1
"RT @CambridgeNewsUK: Most A-level predicted grades are wrong, Cambridge Assessment finds http://t.co/8UiyJMJH3U",1
I might have completed on the house by this time next week. Whoop! 🎉🏡,1
@MrBenBrown just watched you &amp; Steve get your tats. Looked painless! I want now 👍🏼,1
Keeping me company while I work ❤️ #WorldCatDay @CatsProtection http://t.co/G4FLZSvK6P,1
What a happy little dog! :) : Rose plays with a balloon https://t.co/Q75cZVKHtz via @YouTube,1
4 snuffly hedgehogs out for dinner this evening ❤️,1
Poor babies :( https://t.co/SMZnjrNrrK,1
Oh no! What is wrong with people?!?!  :( https://t.co/zl9f9h6agQ,1
The estate agent is officially pissing me off now...,1
"RT @BBCCambs: Woman, 20, assaulted as she walked home in Peterborough - appeal by @CambsCops http://t.co/q5ZXbWpDOm",1
RT @richardbranson: Why big game animals are worth more alive than dead: http://t.co/RovVjkRo2Q http://t.co/k5hWnhcdzF,1
"@DonkeySanctuary a mention in The Times, fastest growing farm attraction. How lovely! Yay for the donkeys!! 💕 http://t.co/zFkMaLzZRK",1
Are the schools now out? There’s no traffic this morning. Feels really odd...,1
Square 8 complete. Trebles and bobbles! #crochet http://t.co/2cu6FpvKeW,1
RT @Protect_Wldlife: Please RT: A massive THANK YOU to the kind souls who look after the orphans of the #Rhino horn trade. #InSafeHands htt…,1
RT @Protect_Wldlife: Scared baby #Elephant Rapa's cries saved him from drowning. http://t.co/qiEZ1AIM6x Many thanks to the @DSWT team! http…,1
"It's been a while river Cam, but you still fill me with joy 🙏🏼💕 https://t.co/SzdImZ4HBv",1
A beautiful evening for gentle walk home... https://t.co/JW4hie24Jl,1
Yaay! Grantchester! 😁👍🏼 https://t.co/YdQ4NKQyzc,1
I ❤️ bus drivers who actually wait for elderly passengers to sit before they start driving off. They aren't all so nice...,1
#RIP George... Minder star George Cole dies at 90 http://t.co/Om3Bqe3P57,1
Poffy will alway take time out from his hectic schedule of sleeping &amp; eating to give his buddy a quick wash... ❤️ http://t.co/2801UBO3on,1
Trying a new stitch. Bit uneven so  this is my test attempt 😊 #crochet https://t.co/9sEF1JpRGu,1
RT @RSPCA_official: RT @heartwiltsnews: Kittens found in car towed 87 miles from #Swindon: http://t.co/XDH7vv640A #HeartNews http://t.co/gS…,1
"How the boy in front of me, who has a beard and reeks of lager, has just got a child bus fare is a mystery 😳",1
I’m now a step closer towards contracts signed and completion on the house. Exciting times! 😎,1
Disgusting. I hope they catch the person doing it.  https://t.co/9ejubl3XC7,1
RT @twistedthread: Minions fans! This pattern's for you http://t.co/B6nCIujZi8 #sewing #felt http://t.co/D52ww2qKJb,1
"@CatsProtection one of my girls, doing what she does best, sleeping! 💗 #WhiskersWednesday http://t.co/ZuJ8Nwz48B",1
I wish the foreign language schools in Cambridge would teach students some manners too... 😤,1
"Bad night's sleep. Weird, anxiety dreams have left me feeling anything but refreshed 😕",1
@the_candourist fantastic first vlog. Very emotional. Beautifully filmed. Good luck on your epic ride 👊🏼🍀,1
Just this http://t.co/VDErR663eU,1
...and it's only Tuesday morning... http://t.co/9mxCpI5SJN,1
Random song popped into my head... Midnight Train to Georgia. No idea why or where from... http://t.co/w0bsahUYbb,1
Life may only seem perfect to the outside world #motivationalquotes http://t.co/7EaDTs8Qb4,1
"RT @rickygervais: On a serious note, I'm so incredibly proud of all of you for your unified compassion and condemnation of animals abusers.…",1
There's nothing more delicious than coming home and taking off the work clothes... 😊,1
Talking 80s TV shows this afternoon brought up mention of the talking aspidistra. Who remembers that? 😉,1
Appeal to identify suspects after homophobic assault on train back to London from Brighton Pride https://t.co/zCH0e0kVFg,1
Retro sweets Monday 😁 https://t.co/qmca1QFuhs,1
"RT @designtaxi: Makeup artist paints wonderful, whimsical scenes of adorable cats on eyelids http://t.co/HoGYWEsBYl http://t.co/5y8mTUlszW",1
RT @folksy: Feeling overwhelmed? - Craft Business Advice - Time Management Tips  - http://t.co/STADTOt2OY,1
RT @designtaxi: Know of a cat-loving friend who would love to have this patch? http://t.co/TOyxOBW1jt http://t.co/EjAX83Yl40,1
RT @craftsbeautiful: #yarnbombing has come to Coronation Street! http://t.co/MC8Xar7kUv http://t.co/XaxPcJU14d,1
"Monday, I'm coming to get ya #positiveaffirmations http://t.co/GV0tuIn8md",1
Remember this http://t.co/myLwHHyv1D,1
Pre 'Monday-anxiety' anxiety sucks 😟,1
How wonderful 😊💗 https://t.co/WVUwZfkLal,1
Holywell river front https://t.co/XjZYXOBaPt,1
Sunday lunch at the Old Ferryboat Inn... https://t.co/bB13500Cy2,1
"RIP Cilla... Cilla Black dies, aged 72 | via @Telegraph http://t.co/vXpY3OnxJS",1
The Bangles - Eternal Flame  http://t.co/WRv8vTcnJ8,1
Soooo sleepy... and it’s only 8:30 on a Saturday night! 😴,1
My first #crochet flower... http://t.co/ybbOv8iQik,1
Funny how a song can transport you to a time and place... remind you of someone... causing a physical jolt... changing the moment instantly,1
I only went in to @Hobbycraft for black buttons. Several balls of wool &amp; a needle felt kit later... http://t.co/qXCsJt0hOP,1
Mashed avocado on toast... breakfast of champions 💗 https://t.co/D22S28tSNT,1
RT @richardbranson: Why protecting endangered species is one of the most important things any of us can do: http://t.co/I0v3Kmqjy0 http://t…,1
💗 this... Tears For Fears - Head Over Heels http://t.co/wcdyqrNWCf,1
Mum is out of surgery and seems to be fine. Overnight in the hospital then home tomorrow... 😊,1
New #crochet project... making red poppies to sell for the British Legion. First flowers I’ve ever made 😊,1
What a vile sub-human... https://t.co/v8ADW40cVQ,1
Good to be home. Happy it’s finally Friday and work is over... 😊,1
"RT @RSPCA_official: Would you know what to do if your cat was poisoned? See symptoms &amp; advice on what to do, here: http://t.co/1x7QhZOZzp h…",1
Is #depression an illness? https://t.co/fDKqA7OpWA,1
Searching for a #therapist that meets on weekends? https://t.co/I0KyqS5ccm,1
The 1st Lady’s mental health road map? #mental #wellness https://t.co/GgGJ0N9ehX,1
Want your #teen to practice safe #sex? #parenting https://t.co/rgooMJ9ZkN,1
Untreated mental illness leaves 2 dead: #mentalillness https://t.co/5DbkU63byZ,1
#Stereotypes about #teens can undermine parents? https://t.co/B4pt0UJftq,1
What do you do when your loved one is in #crisis? https://t.co/iMsHcLlfeo,1
#Parenting with mental illness: #mentalillness https://t.co/UZeFiuSCeN,1
How #recovery from #addiction impacts the #family? https://t.co/7GesKMVBxI,1
#Heroin deaths on a surge? https://t.co/BLn2Dy3wJd,1
How not to raise a #narcissist: https://t.co/iFVP7n4lhD,1
Top 13 #relationship deal breakers: https://t.co/G7XBNBG0a8,1
CBT for the winter blues? https://t.co/S8qQPZffOG,1
The Decisive #Marriage: https://t.co/4L9mJjBsj2,1
Is mental suffering just like any other illness? #mentalillness https://t.co/mrRSFeHCJG,1
75% of wounded veterans suffer from #PTSD? https://t.co/kja7b4hkfw,1
"#Stressed, tired and rushed: #family https://t.co/46OCjnAljy",1
The Client/ #Therapist #relationship: https://t.co/ZpP2xejRL5,1
What's a #traumatic #birth? https://t.co/iSz9r9d4uR,1
A U.S. #Therapist General? https://t.co/RR7pfW5wO0,1
Is #addiction a crisis in the U.S.? https://t.co/idXDoONIbf,1
How could jewelry help prevent sexual #assault? https://t.co/C4Y1ci0Voj,1
#Gonorrhea becoming more resistant ? #STD https://t.co/3XSuj5vEO3,1
Should parents have the #sex talk with their #children? https://t.co/8iuFQiNOWI,1
Subtle #suicide: https://t.co/uI5SPpZjxF,1
Does Halloween #traumatize #children? https://t.co/bBecDKmh2U,1
#College students and #alcohol disorders: https://t.co/9zDvTemV2F,1
More white men die from #suicide and #substance abuse: https://t.co/5DCfH8aiS1,1
Same #sex #couples and fertility benefits: https://t.co/mDd33Zhdol,1
March against #eating #disorders in Washington: https://t.co/7IXmAD1XaR,1
#Anorexic woman weighed 40 pounds: https://t.co/lFS6FqgNFL,1
Love a #women with #anxiety? https://t.co/rZXY9JGwBe,1
#Mindfulness in the workplace: https://t.co/nIvRzSqE7W,1
How to teach #children how to self-advocate: #parenting https://t.co/TjdzOMu5Ua,1
How can #children inherit our #anxiety? https://t.co/ttw0BgRbqS,1
#Children and self-esteem: https://t.co/S3Dz8UqYji,1
What happens when you try to prevent every #suicide: https://t.co/YA5jcyIhij,1
How to deal with mental health issues at work: #mentalhealth https://t.co/YzwzwPxXiy,1
#Peer support and breaking the #stigma: https://t.co/avmVqvezGx,1
"#Teens, #self-harm, #bullying, and #sexting: https://t.co/NCEKZw8t5A",1
Limit video game time to help manage #ADHD? https://t.co/92w8iV5e6b,1
How to stop #child #abuse? https://t.co/lFtW4lpGs2,1
Need a weekend counseling appointment in CT? https://t.co/DRW6HNlRkY,1
Do you know the signs of #child #neglect? https://t.co/PaLX7pYTc7,1
#Love a person with mental illness? #mentalillness https://t.co/YN9txXMcRZ,1
Messages to those with mental illness worldwide: #mentalillness https://t.co/zj4cyOnWoW,1
How do you accept your #emotions? #acceptance https://t.co/ENrbFZ6qfS,1
Need a #therapist that accepts #Husky insurance in CT? https://t.co/qa3Oxxuqah,1
What are some side effects of #antidepressants? https://t.co/wPkchM2OsT,1
Think your sadness may be #depression? https://t.co/N6Bo4PQLoZ,1
Mental health and academic life: #mentalhealth https://t.co/HgTENMFT2y,1
When it comes to #stress do women have it worse? https://t.co/FjCCS59mzn,1
Poor #parenting and children behavior problems: https://t.co/ebDGrwjURk,1
#Dating sites connected to STD  increase? https://t.co/8Tf90Gvl2Q,1
Searching for a #counselor that meets on weekends? https://t.co/ORUlLlzO8D,1
Subtle signs of #depression: https://t.co/Z5ZWJu2OoU,1
#Men account for 76% of #suicides in 2014? https://t.co/ka1aDaKnDH,1
Accountants and mental health: #stress https://t.co/p3k1LHa0WU,1
Another way to counter #anxiety? https://t.co/RXiFoDLU56,1
Does legalizing #prostitution lead to more #trafficking? https://t.co/YXt8mj2hkV,1
Things you shouldn’t do after an #affair? https://t.co/Wv2Yf0IhHS,1
Does early life #stress lead to #depression later on? https://t.co/UQLOWlVP8h,1
Is your #marriage good for your health? https://t.co/Ba9iGINNBl,1
Do you struggle with the need for #perfection? https://t.co/CYutjsH9Mi,1
How has birth control impacted your #marriage? https://t.co/TDQFZL2Fur,1
How do seniors cope with #depression? https://t.co/twyblQ4AxV,1
How do you make sense out of #depression? https://t.co/E9DrgrClmn,1
How does #stress effect your #health? https://t.co/GxXCFMGP1f,1
Black men and mental illness: #mentalillness https://t.co/Cws4FHg48J,1
Understanding #anxiety in men: https://t.co/YWQPeulzTW,1
Mentally ill left behind: #mentalillnes https://t.co/3VBpl3SdHx,1
Tackling feelings of #resentment? https://t.co/J8Vk1A07Du,1
Myths that undermine #addiction #recovery? https://t.co/5ESWo5rKJ6,1
How many people do you know with a #cocaine problem? #addiction https://t.co/MwkaTy7OK6,1
#Children and pot #addiction https://t.co/iOPC5Nqd3X,1
#PTSD after a flood? https://t.co/BwJukxaief,1
#Volunteering improves mental health? https://t.co/BQaAvYc3Oy,1
Taking care of yourself at #work: https://t.co/W8FnjtCA0Y,1
Reversing childhood #obesity? https://t.co/6VzzS1CJQE,1
Don’t take it out on the #children: https://t.co/LDjTKbaSs2,1
Refusing treatment for #Bipolar Disorder: https://t.co/9dCkLqCX4i,1
Doctors against #vaccines? https://t.co/177lF1Q8qM,1
Spotlight on prescription #drug #abuse: https://t.co/yukITpDmZH,1
#ADHD Ain’t no Daddy At Home Disorder? https://t.co/JJXPpxWit5,1
Next time notice the feeling when someone smiles at you? #Mindfulness https://t.co/7Ft3W48rfZ,1
Screening #children for #depression during physical exams? https://t.co/5rFzoySmuf,1
#Genetic mutations cause half of #Autism? https://t.co/1CnUiIkrTR,1
How does your job impact your mental #health? https://t.co/ZUMj52xLoi,1
Australian Mental Health system broken? https://t.co/LRyHGfZWl0,1
Scholars question if #ADHD even exists. https://t.co/q4ii1bMEw2,1
#Children going to the chiropractor? https://t.co/vGJKGEVFkc,1
Do you know about #bipolar disorder? https://t.co/xzNpPp52KQ,1
Kids and Screen (electronics) #Addiction: https://t.co/r4wcXN9sut,1
Increase in #ADHD medication use? https://t.co/WhwDD2QWpU,1
Older women still enjoy #sex too: https://t.co/WYdF2jnlFq,1
Has anyone expressed concern about how much you worry? #anxiety https://t.co/rdbvL7dh2S,1
What does love #addicted mean: https://t.co/wngEb677PF,1
Talking is the best #therapy? https://t.co/2xvhKey1tg,1
#College kids and #alcohol: https://t.co/2CSoRPUfZK,1
Getting teachers #mental #health training? https://t.co/MNjGsSjD9i,1
People in #recovery need support: https://t.co/NIKUZDhvBE,1
Should he tell her that he dated men in the past? #relationships #dating https://t.co/Gwpg91mSed,1
Real men don’t get #depression’ stereotype: https://t.co/GtspMr4CGq,1
Worsts habits for mental #health: https://t.co/33Ut0oiyz7,1
Tips on how to overcome #depression? https://t.co/7lcb7WzVgz,1
Different #parenting styles: https://t.co/c66HoSyQqt,1
Link between #maternity leave and #mental #health: https://t.co/5zEhlOUcQK,1
Savoring #positive #emotions: https://t.co/PBrbURybaE,1
"Suicide, a survivor’s point of view: https://t.co/h4xLIPlYty",1
Increased funding for Youth Mental Health and Substance abuse #prevention? https://t.co/ErUxHbej4z,1
Daily admissions for #self-harm: https://t.co/eaKfenpevI,1
Signs of mental #strength and #resilience: https://t.co/6QaeGINVG7,1
Questions about sex #addiction? https://t.co/u13qKo3rAl,1
Women at greater risk for #PTSD then men? https://t.co/D53j1s80i9,1
