text,class,
"@AyNaGsEuL101 Real දුක,ඒක,නම්,🥲",Depressed,
"දුක පැවසූයෙමි අසනා කෙනෙක් නැති - පාලු නැසූයෙමි තනියට කෙනෙක් නැති 
දැවුනේ දැවුනේ පිරිසිදු සිතකින් - එකම ලඳක් වෙත පෙම් කල උමතුවෙනි... 😌",Depressed,
"සමහර වෙලාවට මට මන් ගැනම හේතුවක් නැතුව දුක හිතෙනවා.
 ඊටපස්සෙ දුක හිතුනට හේතුවක් හිතනවා.
හේතුවක් හිතද්දී තියෙන හේතු… https://t.co/OrHKkaJTYD",Depressed,
@aashinionline මමනේ දන්නේ මං විඳපු දුක 😪,Depressed,
@JayaniFdo දුක හිතුනා හිත බිදුනා..😪😪😪,Depressed,
"RT @iampiyumi_: සැමදා දුක සැමදා සැප නොමැති ලෝකයේ..
ඇඳට පැනලා දොයියා ගමු එයයි ජීවිතේ..🤪 https://t.co/hqpNKZ7aYY",Depressed,
"RT @HansamaliSasini: 4න් එකේ තිබුන contact ඔක්කොමයි, පරන photos ටිකයි, අනුන්ගෙ ඕප දූප massage ටිකයි සේරම නැති උන දුක අහිංසකව විදින මම 😏
දැ…",Depressed,
"සැමදා දුක සැමදා සැප නොමැති ලෝකයේ..
ඇඳට පැනලා දොයියා ගමු එයයි ජීවිතේ..🤪 https://t.co/hqpNKZ7aYY",Depressed,
"එයැයිගේ පොටෝ දකිද්දි හිත රිදෙනවා අප්පා ......... 😪😪😪
හවසට දුල්ටයි ගෙම්බිස්ටයි කෝල් එකක් අරන් අඬන්න ඕනේ දුක තුනීවෙලා යන්න ...... 🥲🥲🥲",Depressed,
@Sulaksh7 ඉම්හි ඉම්හි ඇයි ඔයා මාව බ්ලොක් කරේ දුක නැද්ද ☹️,Depressed,
@sachinsupunthak @tikirimaarie @zcorpion_x දුක තමා 😅,Depressed,
"සමහර මිනිස්සු ,හේතුවක් නැතුවම ළඟ හිටියා . දුක සැප ඇහුවා . ආදරේ කළා . තවමත් ආදරේ කරනවා. හිනස්සනවා,කියන්නෙ මොනාද ඒ ඔ… https://t.co/Joe8Wrom0r",Depressed,
@GingerBrdMan ඔව් ඒයි දුක තමෛ 🥲,Depressed,
@AkilaSilva8 ඇත්තටම මේ ලෝකෙ ඔය දුක විදින කීයක් දෙනෙක් ඇත්ද,Depressed,
@Shehela1 @aashinionline දුක හිතුණා හිත බිදුනා… 😪😪😪,Depressed,
@praveenabeysin2 ලැප් එක කැඩුන දවසෙ ඉදන් උඹේ දුක කියන්නෙ මෙහෙම නේ 😌,Depressed,
"දුක් විඳින්න 
විඳින දුක..
දුක අවබෝධ කරගන්න
පාවිච්චි කලා නම් අපි
මෙලහට ගොඩ ගිහින්..",Depressed,
"දුක හිතෙන මූවී එකක් බලනවා ❌
SLvNZ ටෙස්ට් මැච් එකක් බලනවා ✔️",Depressed,
@SanjeewaKUK22 දුක සේ විදින්න එහෙනම්‍ 😞,Depressed,
@MaheshaSamarat2 මුනිවත හොඳා දෙබසින් දුක වැඩිහින්දා,Depressed,
"@WaruAnu මම ඊයේ පෙරේදා දවස් දෙකේ අහපු දැකපු දේවල් එක්ක දුක ,කලකිරීම දෙකම උපරීමේටම දැනුනා .මිනිස්සු පෙන්නන මූණට වඩා… https://t.co/ZI8p1YbLoA",Depressed,
අහපු දැකපු දේවල් වලට දුක හිතුනද කලකිරුනද කියලා හිතා ගන්න බෑ ... 😑😑😑,Depressed,
"අයත් එක කාලයක්
ඇස් කදුලින් පුරවන්
හිත හැදෙනකල්
හිතේ දුක කදුලුවල 
දිය කෙරුවා
එහෙම ‍ගැලුව කදුලු
එකතු කරා නම්
මහ මුහුද… https://t.co/CM2yx0PXkq",Depressed,
"ඉන්නවා
එයාලා මොන මොන ප්‍රශ්න ආවත්
මොන මොන දුකක් ආවත්
ඒ දුක කාටවත් නොපෙන්වා
හැමදේම තනියම විදගත්තා
පුංචි දේටත් කදුලු… https://t.co/Qsct1NfXYS",Depressed,
@__Banz අනේ කුරුණෑගල පරණ මතක. දුක හිතුණා.,Depressed,
"RT @Dilrukshan_: ටොන් ගනන් වචන අතර ,
සතුට ඇත්නම් 
නුඹ රැගෙන යන්න !
දුක හිතෙන ටික 
මට තියලා යන්න !🕊️ https://t.co/jd67ZflDAd",Depressed,
"මන් තනිවම යන්නම් තව දුර
දෑස හුරු හින්දා
පපුව තනියට දැනෙන හැමවිට
ඔය දෑස මම හෙව්වා
අදුරේ පාට ගෑවුනේ
සිහිනේ පාව යාවු… https://t.co/BazjDjJOB1",Depressed,
@NadeeshaniSand3 ඒ දුක කාට හරි කියන්න ඕනි 😟,Depressed,
රනිල් රාජපක්ෂ හදපු රට මුන්ට මේ අහිංසක මිනිසුන්ගේ දුක වේදනාව ශාපයක් වෙනව ඒකාන්තයි https://t.co/yOdnjlhbgu,Depressed,
"RT @Pramuditha_M: හිතේ දුක නිවා ගන්න ඔනැ කියලා
කොහේ හො ඔබත් එක්ක 
යන්නම් සිතාලා
එදා ආවේ හැමදාම එන්නැයි සිතාලා
මැණිකේ ඇයි ද කිව්වේ එපා කියලා…",Depressed,
"හිතේ දුක නිවා ගන්න ඔනැ කියලා
කොහේ හො ඔබත් එක්ක 
යන්නම් සිතාලා
එදා ආවේ හැමදාම එන්නැයි සිතාලා
මැණිකේ ඇයි ද කිව්වේ එපා… https://t.co/K3OwoXEJW9",Depressed,
"හැමෝටම සාධාරණ නෑ 
බර වෙන පැත්ත වාසනාවන්තයි ආදරේ අත්ත...!
පිළිගන්න අමාරුයි 
කොච්චර දුක හිතුනත් සමහරක්  ඇත්ත
මාධවී… https://t.co/t803oMIabz",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"@GayanNishan ගඟ එක තැන නොරැඳේ.....
ජීවිතයත් ඒ වගේ දුක සදාකල් රැඳෙන්නේ.ඒකථ් ගෙවිලා යයි....",Depressed,
RT @induinduu: දැනෙනා දුක නොදැනී වගේ... මං ආවා... 🖤,Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
දුක අල්ට්‍රා පොරෝ මැත්ස් 🥲,Depressed,
@KMeeeaaow මට දුක අහිම්සක අපි ගැන... මොන පවක් කළාට ද?,Depressed,
"""මමයි හිතයි තනි උනා දුක නිව්වේ නිකොටින් ! ""  🚶🎀",Depressed,
"දුක
 මට ඔවුන්ව අවශ්‍ය වූ විට මා වෙනුවෙන් කිසිවෙක් නොමැති වීමයි.
🤞🥀 https://t.co/A41rxstRPZ",Depressed,
"දුක
 මට ඔවුන්ව අවශ්‍ය වූ විට මා වෙනුවෙන් කිසිවෙක් නොමැති වීමයි.
🤞😊",Depressed,
"ආදරේ දෙනකොට ආයේ අපිට
ආදරයක් ලැබෙයි කියලා
බලාපොරොත්තු වෙන්න එපා 💔🥺
අපිට ඕනි කෙනා ළග
අපිට ආදරයක් නෑ කියලා දැනුනම
දරා… https://t.co/1nHcvwCuoG",Depressed,
"කවදාවත්ම නුඹ මට නොලැබෙන හින්දා
මුනිවත හොඳයි දෙබසින් දුක වැඩි හින්දා",Depressed,
"නුඹේ හිත ප්‍රේමයෙන්
මා තනිවම අද තනි වී
නෑ ලඟ කවුරුවත්
හිත නිහඬයි මගේ
දුක තනිවම කඳුලින්
දුක හිතේ හිරකරන්
මා සතුටින්… https://t.co/Y2ARqknu9j",Depressed,
දුක තමා 🥲,Depressed,
@Bee_Hi123 ඇත්තටම දුක හිතුනා ඒක ඇහුවම 🤦‍♀️🫠,Depressed,
"මන් තනිවම යන්නම් තව දුර
දෑස හුරු හින්දා
පපුව තනියට දැනෙන හැමවිට
ඔය දෑස මම හෙව්වා
අදුරේ පාට ගෑවුනේ
සිහිනේ පාව යාවු… https://t.co/vtGlPbuzuX",Depressed,
@kocoy__ දුක ඇති නේද 😊,Depressed,
"කියන්නට බැරි තරම් ඔබට ආදරෙයි මං
දරන්නට බැරි තරම් දුක වාවන්නට බෑ දැන්
ඔබ ඇයි කුරිරු මේ තරම්
සිතක් නැති කෙනෙක් මෙන්… https://t.co/ZFgrp4ikm6",Depressed,
@DpHarischandra දුක හිතෙනවා.. 😪,Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
@lahirunirmala දුක විවිධාකාරයි. ඒවගෙන් මොන එක ගැනද කියන්නෙ කියල තමයි හිතාගන්න බැරි.,Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"RT @induinduu: හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
"හැමෝගෙම ප්‍රශ්න අහන්න තරම් හයිය හිතක් තියෙන එවුන්ට තියෙන එකම දුක... තමන්ගෙ ප්‍රශ්නේ කාටද අහන්න , දරාගන්න පුලුවන් කියන එක..",Depressed,
@AkilaSilva8 කවුරුත්  ඕනකමින් කේන්ති ගන්නෙ හෝ දුක හිතන්නෙ හෝ නෑනේ.එතකොට ඒක නවත්තන්නෙ කොහොමද හිතලා.පීරියඩ් මූඩ් ස්… https://t.co/4FtVf5qnav,Depressed,
"@nisalatp මට mood swings එනවද නැද්ද කියල දන්නෙ නැ. හැබැයි දුක, තරහ., සතුට, fed up , mentally tired ඕව ඉතින් හරිම සා… https://t.co/Ci5DirItZP",Depressed,
"මම දුන්නේ,
ආදරය!
එයාට දැනිලා තියෙන්නේ,
වටිනාකම!

ඔයා නොදුන්නට,
මම දැනෙන්න,
දුන්නා!
ආදරය!

වෛරයක් කොහි කරන්නද?
ආදරේ… https://t.co/ehO5UrXu34",Depressed,
@Chamathka_0815 දුක වාවන්නෑ අප්ප.,Depressed,
"ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න​
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න​......",Depressed,
"හැම සතුටක්ම පිටිපස්සේ
ලොකු දුකක්ද ලග එනවා 
ඒ දුක අස්සේ අසරණ වී අපි මනසින් විදවනවා..!!… https://t.co/jjX19yGq9Z",Depressed,
"@induinduu හැබැයි දෙන්නම වැරදිත් නෑ, අන්න ඒකයි දුක 💔🌸",Depressed,
"@iam_AStr තනිවම හොදයි. සතුටුයි , දුක අඩුයි.
මමත් එහෙමයි.",Depressed,
"දඟකාර මල් කැකුලු අද ඔහේ මැලැවිලා
සිප්හලට මැදි වෙච්ච අකුරු පොඩි තනිවෙලා
කිටි කිටියෙ බර වෙච්ච දුක ලැමැද ගිනි තියා
පල්… https://t.co/0QJgGhTTOk",Depressed,
"""ආකන්ක්ෂා දුබේ සියදිවි නසා ගනී https://t.co/r7lyuNOssn
""RT @KOTTANOFFICIAL: මියුසියස් එකේ ශිෂ්‍ය නායිකාවන් සහ ගුරුවරු",Depressed,
@Dulan_Is_Here @I_am_bagiya තාම දුන්නේ නෑනේ. ගෙනත් දෙනකල් අඩනවා.😌😌😌,Depressed,
"' සමහර දවස් වල අපි රන්ඩු කරනවා,
ඒකට අඩනවා තරහා වෙනවා!
ඒත් ඔය මොනවා වුනත් අපි දෙන්නට
අපි දෙන්නව අවශ්‍ය වන හැම මොහොත… https://t.co/pEAPbxM8dT",Depressed,
"@JayaniFdo @GingerBrdMan ජෙනීගැන හිත හිත අඩනවා රෑට.🙂❤.
කන්නෙත් නැ.
ඉතින් කෙම්ටු වෙලා",Depressed,
@ayo_itschootii @_TheKande @Atumbus @DehanJ_ @DiyaniTweets කමක් නෑ චූටි.. ඔයා අතින් හරි මැරිලා යනවනම් ලොකු දෙයක්.. 🙁,Depressed,
@0_dhanushka ආයෙ මැරිලා ඉපදෙන්ඩ එපැයි🙁,Depressed,
මේ හැමදෙයක්ම බලාගෙන මැරිලා වගේ ඉන්න එක හරිම අමාරුයි.,Depressed,
අනේ මට ඕනෙ කාටවත් නරකක් කරන්නෙ නැතුව මනුස්සයෙක් විදියට මැරිලා යන්න 😭😭😭,Depressed,
@tharu__ ගෙදර ආවෙ භාගෙට මැරිලා 🥲,Depressed,
Uberලට depression කියලා මට කෝල් ගන්න එපා..මට ඊට වැඩිය depression 🙏,Depressed,
"නිදාගන්න කෝට්ටෙට කතා කරන්න පුළුවන් නම්, හැම එකාම මුලු  රෑ ඇහැරගෙන ඉකි ගහා ගහා මතකයට නගණ මියැදුණු හැගීම් ගැන කියයි වරු ගානක්  දුක තද කරගෙන 💔

හැමෝටම Depression නැති උනාට
හැම එකාටම  මොකක් හරි අවුලක් තිබුණා 🌵",Depressed,
"දුක දැනෙනවා, ඒ දුකත් එක්ක අර අහිමි වීම ඇගට දැනුනනම අපිට හිතෙනවා අපි තනි වෙලා කියලා, අපි වටේට කොයි තරම් හිටියත් අපි තනි වෙලා වගේ හිත කියනවා, සයිඩ් ගහලා කල්පනා කරනවා, කල්පනා කරලා කරලාම depression එනවා, ඒ වෙලාවට එයාලටත් හිතෙනවා sucide කර ගන්න, තනිකම කියන්නේ ජීවිතේ අවස්තාවක් අවාසනාවක",Depressed,
RT @CheyNumba9: බලාපොරොත්තු ඇති කරගැනීම සියදිවි නසාගැනීම හා සමානය...,Depressed,
බලාපොරොත්තු ඇති කරගැනීම සියදිවි නසාගැනීම හා සමානය...,Depressed,
"කෙල්ලෙක් අපේ ජිවිතේ ඉන්නකොට ඒ කෙල්ල අපිව හදනවා, වැරදි දේවල් කියල දීල අම්ම කෙනෙක් වගේ ඉන්නවා,
ඒත් ඒ අම්ම කෙනෙක් වගේ තමන්ව බලාගත්තු කෙල්ලව නැති උනාම කොල්ලො අයාලේ යන්න ගන්නවා, තමන්ට ඕන දේවල් කරන්න ගිහින් කාලකණ්ණි වෙන්න ගන්නවා.
මම මේ කියන්නෙ සමහරක් කොල්ලන්ගෙ ජීවිත ගැන.",Depressed,
අද ඔෆිස් එකේ ගෑණු කෙනෙක් කිව්වා ගෑණියෙක්ගෙ දුක තේරුම් අරන් වැඩ කරන්න කියලා. 🙂,Neutral,
"@samith78 තොත් මැරිලා මුත් මැරිලා පල 
තොපි හදපු ප්‍රශ්න නේ මෙව්වා 
ගොබ්බ සිංහල පකයෝයි",Neutral,
"මට කියන්න හැමදෙයක්ම...
හිතේ තියෙනා දුක නිවෙන්න..
හදේ ගැස්ම දැනෙනා තැනක...
මං ආසයි අහන් ඉන්න. #Sajje",Neutral,
@TheToka920 එකපාරටම මයික් එක ගන්න එපා.. පොඩ්ඩක් බිපං. එතකොට දුක වැඩි උනාම අඩන්න උනත් පුලුවන් 😂,Neutral,
"""RT @Pramuditha_M: ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න​
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න​
""RT @r_evarts: සමහර උන්ට දරාගන්න බෑ",Neutral,
"හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW""",Neutral,
"මේ වියදම් දරාගන්න බෑ 🥲😧,  suger mama කෙනෙක් ඕනි 😋😁",Neutral,
"යනව නම් නුඹ ඈත දුරකට
මටත් නොකියම නොඑන්න​
දුටුවොතින් සඳවතිය අහසේ
යන තැනක තතු කියන්න​
නුඹේ මග දිග තුරුලතා වල
මල් පි… https://t.co/6CdQWDbnnq",Neutral,
මන් පේක් වෙන්න හේතුව හොයා ගත්තා යාළුවේ.. 🥲🥲  දැන් මට නිදහසේ මැරෙන්න පුළුවන් 😍😍 https://t.co/ocXNdsqP1X,Neutral,
"""RT @Pramuditha_M: ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න​
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න​
""ඉතින් නුඹ තව දුර ගියෝතින්",Neutral,
@HasalaNimmana කූඹි කාලා මැරෙන්න😁🌸,Neutral,
@Mseciice දුක හිතෙන දේවල් මේ රෑට කියනවද?✋,Neutral,
@malsha_induwara දුක තමයි 😂💔,Neutral,
නෑ එක්කෝ කමක් නෑ. මෙහෙමම ඉන්නවා. නැත්නම් එයාලට දුක හිතෙයි 😕💔 https://t.co/XH1ndSRrts,Neutral,
"අඬලා ඉවරයි කියලා හිතනකොට
ආපහු ඇස් වලට කඳුළු කොහෙන් 
එනවද මන්දා... 🙂💔",Neutral,
"ලැබිලත් ,
නොලැබෙන බැඳීම්
දරාගන්න අමාරුයි...
😌",Neutral,
@zcorpion_x දුක තමා Fantasy ලෝකවල් වල දේවල් රියල් ලෝකෙට ඇප්ලයි වෙන්නේ ටික දෙනාටයි බොසා.❤️,Neutral,
"බොරුවට මොකටද දුක හිතිලා
නූපන් හෙට දින ගැන හිතලා..",Neutral,
දරැ දුක.https://t.co/mhsxF9F1i9 https://t.co/6mh26k4hX0,Neutral,
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",Neutral,
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",Neutral,
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",Neutral,
"සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",Neutral,
@Dagaya_ @__shaaaanu මගේ දුක මමනේ දන්නේ,Neutral,
@aashinionline suicide mission එකක් නේ ඒක. තිත්තයා ඒත් පරාදයි. හැබැයි තිත්ත ප්‍රජාව දිනුම් 🥲🤣,Neutral,
"දුක හිතුනම
අම්මලා 
ලූනු පොතු අරිනව 
හැංගිලා ….",Neutral,
@anushaka_____ දරාගන්න බැරුව 😁🤣,Neutral,
"RT @sunandabandara1: @unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියනවා…",Neutral,
මේ වෙලාවට කෑම වල 4to දාන අය මරාගෙන මැරෙන්න පුළුවන් 🙄,Neutral,
"RT @sunandabandara1: @unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියනවා…",Neutral,
RT @Neetwit: @HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අශ්වයෝ රේස්…,Neutral,
RT @Neetwit: @HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අශ්වයෝ රේස්…,Neutral,
@HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අ… https://t.co/YYbvBij1cC,Neutral,
"පොලිසිය භාරයේදී මැරෙන්න දෙන්නේ නැහැ: පොලිස්පති – නීතිපති මගින් ශ්‍රේෂ්ඨාධිකරණයට සහතික වෙයි
පොලිස්පතිට උසාවියෙන් තු… https://t.co/TjV9oLPp47",Neutral,
"@unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියන… https://t.co/W78jTl2IrZ",Neutral,
@unknown_lankan අරුන් එකෙක්ටවත් බැරිඋනානේ හොම්බට දෙකක් අයින්න. ඒ උනාට දුක අහන අයියගේ ප්‍රෝගෑම් එකට ගියොත් පෙමිනිස්ට් වැක්කෙරෙනවා 🙂👋,Neutral,
"RT @induinduu: කොච්චර එපා කිව්වත්
අපි අපේ ජීවිතේට විශේෂ මිනිස්සු එක්ක
හීන හදාගන්නවා..
ඒවා වෙනුවෙන් මහන්සි වෙනවා...
හීනේ නැති උනාම විඳ දරාග…",Neutral,
@Dagaya_ එයාට දුක ඇති මාව දාලා ගිය එකට. අන්තිම මොහොතේ එයා මගෙන් ටිකක් ගුටි කෑවා. ඒකයි මට වාවන්නේ නැත්තේ 😒😒😒,Neutral,
"RT @induinduu: මං හිතන්නේ
අපිට දරාගැනීම 
මෙච්චර උගන්නලා තියෙන්නේ
අපේ තියෙන දුරස් බවමයි...
පොඩි දේවල් ඉවසා දරාගන්න
විහිළුවටවත් රණ්ඩු නොවී ඉ…",Neutral,
"මං හිතන්නේ
අපිට දරාගැනීම 
මෙච්චර උගන්නලා තියෙන්නේ
අපේ තියෙන දුරස් බවමයි...
පොඩි දේවල් ඉවසා දරාගන්න
විහිළුවටවත් රණ්… https://t.co/oEsKe60Kcw",Neutral,
@JayaniFdo අපි තමයි දන්නෙ අපේ දුක 😂,Neutral,
